BasinName,BasinSites,HUCS
LOWER YELLOWSTONE VALLEY (Wyoming),COOP0739;COOP0743;COOP1084;COOP1127;COOP1297;COOP1905;COOP3098;COOP3581;COOP3915;COOP4358;COOP4364;COOP5045;COOP5668;COOP5690;COOP5754;COOP5870;COOP6601;COOP6691;COOP7560;COOP7740;COOP9240;COOP0636;COOP2689;COOP4715;COOP7034;COOP8732;COOP8957;COOP3378;COOP9905;COOP9025;COOP5345;COOP1775;COOP2415;COOP7388;COOP5770;COOP1840;COOP1175;COOP3031;COOP4080;COOP8124;COOP0540;COOP8758;COOP9785;COOP8852;COOP0778;COOP8875;COOP2715;COOP1000;COOP1284;COOP2595;COOP7115;COOP8209;COOP7760;COOP5390;COOP7376;COOP6195;COOP5055;COOP0740;COOP1165;COOP1816;COOP8626;COOP0680;COOP8155;COOP2399;COOP8160;COOP5506,1010
LOWER YELLOWSTONE RIVER BASIN (Wyoming),309;325;931;350;08G02;358;377;379;1130;09F20;402;405;923;451;09F06;472;09F07;08G04;501;512;525;560;1131;585;616;07E24;08G06;625;07E15;07E27;676;703;07E04;07E38;751;09F15;1132;07E05;06E01;775;786;798;806;807;09F03;818;819;822;10F09;826;07E35;07E13;878;COOP0739;COOP0743;COOP1084;COOP1127;COOP1297;COOP1905;COOP3098;COOP3581;COOP3915;COOP4358;COOP4364;COOP5045;COOP5668;COOP5690;COOP5754;COOP5870;COOP6601;COOP6691;COOP7560;COOP7740;COOP9240;COOP0636;COOP2689;COOP4715;COOP7034;COOP8732;COOP8957;COOP3378;COOP9905;COOP9025;COOP5345;COOP1775;COOP2415;COOP7388;COOP5770;COOP1840;COOP1175;COOP3031;COOP4080;COOP8124;COOP0540;COOP8758;COOP9785;COOP8852;COOP0778;COOP8875;COOP2715;COOP1000;COOP1284;COOP2595;COOP7115;COOP8209;COOP7760;COOP5390;COOP7376;COOP6195;COOP5055;COOP0740;COOP1165;COOP1816;COOP8626;COOP0680;COOP8155;COOP2399;COOP8160;COOP5506,1010
CLARK FORK RIVER BASIN,13C16;15B11;15B16;15B15;313;315;1190;14B03;12C19;349;12D08;15B22;410;413;414;12C17;13B10;13C42;12C15;MPRCML15;13C09;15B23;530;535;588;594;604;13C21;13C22;13C08;13C37;12C20;657;903;667;12C16;930;932;15B24;722;15B05;760;783;13C02;12C01;13C07;901;12C02;12C03;850,1804001001
CLARK FORK ab PEND OREILLE LAKE,13C16;1165;14A19;307;15B11;15B16;15B15;313;315;1190;14B03;346;12C19;349;14B04;1144;14A13;12D08;15B22;14A15;410;413;414;12C17;13B10;433;13A02;13C42;12C15;MPRCML15;13C09;469;13B04;2C07;482;14Z10;13D02;15B23;500;14A09;510;14A03;14A16;13B13;530;535;14A06;562;14A05;588;594;604;13C21;13C22;13C08;13C37;613;13A05;13A16;646;12C20;657;903;662;664;667;12C16;930;693;932;14B06;15B24;722;15B05;727;760;783;13C02;13B02;787;12C01;13C07;14A17;901;12C02;12C03;13B01;14A18;835;836;13B05;14Z01;850;14A07,170102
COLUMBIA RIVER in MONTANA MOUNTAIN,13C16;1165;14A19;307;311;15B11;15B16;15B15;313;315;1190;14B03;323;346;12C19;349;14B04;1144;15A10;14A13;12D08;15B22;14A15;410;413;414;12C17;13B10;433;13A02;13C42;12C15;MPRCML15;13C09;469;13B04;482;918;13D02;15B23;500;14A09;510;516;14A03;14A16;13B13;530;535;14A06;562;14A05;588;594;604;13C21;13C22;13C08;13C37;613;13A05;13A16;646;12C20;657;903;662;664;667;12C16;930;693;932;14B06;15B24;722;15B05;727;760;783;13C02;13B02;787;12C01;13C07;14A17;901;12C02;12C03;13B01;14A18;835;836;13B05;850;14A07,1303020126
COLUMBIA RIVER in MONTANA VALLEY,COOP2827;COOP5015;COOP5020;COOP0755;COOP4558;COOP6640;COOP8902;COOP1318;COOP6472;COOP7448;COOP2221;COOP3885;COOP7894;COOP4084;COOP5745;COOP8043;COOP8211;COOP8380,1303020126
COLUMBIA RIVER in MONTANA,13C16;1165;14A19;307;311;15B11;15B16;15B15;313;315;1190;14B03;323;346;12C19;349;14B04;1144;15A10;14A13;12D08;15B22;14A15;410;413;414;12C17;13B10;433;13A02;13C42;12C15;MPRCML15;13C09;469;13B04;482;918;13D02;15B23;500;14A09;510;516;14A03;14A16;13B13;530;535;14A06;562;14A05;588;594;604;13C21;13C22;13C08;13C37;613;13A05;13A16;646;12C20;657;903;662;664;667;12C16;930;693;932;14B06;15B24;722;15B05;727;760;783;13C02;13B02;787;12C01;13C07;14A17;901;12C02;12C03;13B01;14A18;835;836;13B05;850;14A07;COOP2827;COOP5015;COOP5020;COOP0755;COOP4558;COOP6640;COOP8902;COOP1318;COOP6472;COOP7448;COOP2221;COOP3885;COOP7894;COOP4084;COOP5745;COOP8043;COOP8211;COOP8380,1303020126
MISSOURI HEADWATERS MOUNTAIN,916;10D14;313;315;318;11D09;328;347;355;365;12D08;381;385;403;403;12C09;13E22;436;448;13D15;12D10;12D07;13D21;11D12;487;13D02;11E05;COOP4038;13E28;11E04;568;576;578;11D10;590;603;609;638;12C20;13D25;656;10D01;10E19;10E18;12D01;11E21;15B24;722;929;727;753;754;13C07;12C03;813;11E06;924;858;860,1002
MISSOURI HEADWATERS VALLEY,COOP0110;COOP1008;COOP2409;COOP3707;COOP8430;COOP8597;COOP9067;COOP9082;COOP2793;COOP4038;COOP6157;COOP6845;COOP0622;COOP1044,1002
MISSOURI HEADWATERS,916;10D14;313;315;318;11D09;328;347;355;365;12D08;381;385;403;403;12C09;13E22;436;448;13D15;12D10;12D07;13D21;11D12;487;13D02;11E05;COOP4038;13E28;11E04;568;576;578;11D10;590;603;609;638;12C20;13D25;656;10D01;10E19;10E18;12D01;11E21;15B24;722;929;727;753;754;13C07;12C03;813;11E06;924;858;860;COOP0110;COOP1008;COOP2409;COOP3707;COOP8430;COOP8597;COOP9067;COOP9082;COOP2793;COOP4038;COOP6157;COOP6845;COOP0622;COOP1044,1002
